Exercise Name,Body Part Engaged
One Arm Decline Cable Fly,Chest
One Arm Kettlebell Snatch,"Full Body, Hip, Leg, Shoulders"
Lever Cable Rear Pulldown,Back / Wing
Close Grip Z-Bar Curl,Biceps
Dumbbell Scott Curl,Biceps
Cross Cable Face Pull,"Shoulders, Trapezius"
Shotgun Row,Back / Wing
Elbow Reverse Push-Up,"Back / Wing, Trapezius"
Impossible Dips,"Calisthenic, Full Body, Triceps"
Korean Dips,"Calisthenic, Chest, Full Body, Triceps"
Straight Bar Dip,"Calisthenic, Chest, Full Body, Triceps"
Inchworm,Abs
Weighted One Arm Pull-up,Back / Wing
Dumbbell One Arm Reverse Grip Press,Chest
Cable Crossover Lat Pulldown,Back / Wing
One Arm Landmine Row,"Back / Wing, Shoulders"
Front Plank With Arm And Leg Lift,"Abs, Cardio, Hip, Leg"
Horizontal Leg Press,Leg
Resistance Band Reverse Hyperextension,Hip
Resistance Band Seated Shoulder Press,Shoulders
Resistance Band Toe Touch,"Hip, Leg"
Barbell Curl On Arm Blaster,Biceps
Arm Blaster Hammer Curl,Biceps
Dumbbell Curl On Arm Blaster,Biceps
Lever One-Arm Chest Press,Chest
Weighted Lying Twist,Abs
Standing One Arm Chest Stretch,"Biceps, Chest, Forearm"
Kneeling Hip Flexor Stretch,"Hip, Leg"
Standing Quadriceps Stretch,Leg
Single-Arm Medicine Ball Push-Up,Chest
Stability Ball Decline Push-Up,Chest
Dumbbell Pullover On Stability Ball,Chest
Stability Ball Push-Up,Chest
Swiss Ball Rollout,Abs
Exercise Ball Wall Squat,"Hip, Leg"
Weighted Side Bend On Stability Ball,Abs
Exercise Ball Triceps Extension,Triceps
Stability Ball V-Up,Abs
Exercise Ball Frog Crunch,Abs
Leg Curl On Stability Ball,Leg
Dumbbell Decline One-Arm Hammer Press,"Chest, Triceps"
Bench Pike Push-up,"Calisthenic, Shoulders"
Pike Push-up,"Calisthenic, Chest, Shoulders"
Tall Kneeling One Arm Kettlebell Press,Shoulders
Kettlebell Clean and Jerk,"Cardio, Full Body, Hip, Leg, Shoulders"
Kettlebell Goblet Squat,"Hip, Leg"
Lever Reverse T-Bar Row,Back / Wing
One Arm Biceps Curl,Biceps
Kettlebell Deadlift,"Erector Spinae, Hip, Leg"
Kettlebell Bent Over Row,Back / Wing
Barbell Bench Front Squat,Leg
Dumbbell Burpees,"Cardio, Full Body"
Standing Toe Touches,"Erector Spinae, Leg"
Standing Side Toe Touching,Leg
Weighted Push-up,Chest
Band Lying Hip External Rotation,Hip
Full Range Of Motion Lat Pulldown,"Back / Wing, Shoulders"
Ski Step,Cardio
Dumbbell Split Jump,"Cardio, Hip, Leg"
Banded Step-up,"Hip, Leg"
Barbell Curtsey Lunge,Leg
Dumbbell Jump Squat,"Cardio, Full Body, Hip, Leg"
Barbell Split Squat,Leg
Lever Shoulder Press (Hammer Grip),Shoulders
Cable Seated Cross Arm Twist,Abs
All Fours Squad Stretch,Leg
Chin-Up,"Back / Wing, Biceps"
Wrist Ulnar Deviator And Extensor Stretch,Forearm
Reverse Wrist Stretch,Forearm
Wrist Stretch,Forearm
Burpees,"Abs, Cardio, Full Body, Hip, Leg"
Dumbbell Lying Rear Lateral Raise,Shoulders
Lever Biceps Curl,Biceps
Barbell Glute Bridge On Bench,N/A
Cable Incline Biceps Curl,Biceps
Lever Reverse Shoulder Press,Shoulders
Lever Kneeling Leg Curl,Leg
Standing Twist Machine,Abs
Side Lying Rear Delt Dumbbell Raise,Shoulders
Scapula Dips,"Shoulders, Trapezius"
Triceps Extension Machine,Triceps
Ez-Bar Incline Front Raise,Shoulders
Triceps Dip Machine,Triceps
Seated Crunch Machine,Abs
Push-Up Plus,"Chest, Trapezius"
Seated Toe Touches,"Back / Wing, Erector Spinae, Leg"
Vibration Plate,Cardio
L-Sit Pull-Up,"Back / Wing, Calisthenic, Full Body"
Back Lever,"Back / Wing, Calisthenic, Full Body, Shoulders"
Swing 360,"Back / Wing, Calisthenic"
Front Lever Pull-up,"Back / Wing, Calisthenic, Full Body"
Barbell Front Raise Twist,Shoulders
Reverse Hack Squat,"Hip, Leg"
Duck Walk,"Hip, Leg"
Single-Arm Push-up,"Calisthenic, Chest, Triceps"
Kettlebell Shoulder Press,Shoulders
Trap Bar Deadlift,Leg
Zercher Squat,"Hip, Leg"
Barbell Front Squat,Leg
Barbell Rollout,Abs
Landmine Twist,Abs
Frog Crunch,Abs
Ab Wheel Rollout,"Abs, Hip"
Wall-Supported Handstand Push-Ups,"Calisthenic, Shoulders, Triceps"
High Knees Against Wall,Cardio
Towel Shoulder Stretch,"Back / Wing, Shoulders, Triceps"
Standing Hamstring Stretch,"Calf, Hip, Leg"
Kettlebell Thruster,"Hip, Leg, Shoulders"
One Arm Dumbbell Snatch,"Full Body, Hip, Leg, Shoulders"
Single Leg Press,Leg
Vertical Mountain Climber,Cardio
Landmine Lunge,"Hip, Leg"
One-Arm Kettlebell Chest Press,Chest
Kettlebell Chest Press on the Floor,Chest
Weighted Seated Calf Raise,Calf
Wide Grip Bench Press,Chest
Decline Barbell Bench Press,Chest
Single Leg Extension,Leg
Smith Machine Leg Press,Leg
Band Front Lateral Raise,Shoulders
Smith Machine Lunge,"Hip, Leg"
Skater Squat,Leg
Shoulder Pendulum,Shoulders
One Arm Push Ups With Support,Chest
Band Standing Chest Press,Chest
Shrimp Squat,Leg
90-Degree Cable External Rotation,Shoulders
90-degree Cable Internal Rotation,Shoulders
Towel Leg Curl,"Hip, Leg"
Single Leg Hip Thrust Jump,"Cardio, Hip"
Seated Chest Stretch,Chest
Seated Ballerina Exercise,"Shoulders, Trapezius"
Seated Scapular Retraction Exercise,"Shoulders, Trapezius"
Foam Roller IT (iliotibial Band) Stretch,Leg
Foam Roller Back Stretch,"Back / Wing, Erector Spinae"
Foam Roller Rhomboids,"Back / Wing, Trapezius"
Foam Roller Glutes,Hip
Foam Roller Quads,Leg
Foam Roller Posterior Shoulder,Shoulders
Foam Roller Chest Stretch,Chest
Foam Roller Upper Back,"Back / Wing, Trapezius"
Foam Roller Lat Stretch,Back / Wing
Foam Roller Inner Thigh Adductor Stretch,"Hip, Leg"
Foam Roller Hamstrings,Leg
Foam Roller Front Shoulder and Chest,"Chest, Shoulders"
Foam Roller Plantar Fasciitis,Leg
Foam Roller Calves,Calf
Rotator Cuff Stretch,Shoulders
Assisted Reverse Stretch (Chest And Shoulder),"Chest, Shoulders"
Banded Foot External Rotation,Calf
Lying Upper Body Rotation,"Abs, Back / Wing, Chest, Erector Spinae, Shoulders"
Lever Pullover,Back / Wing
90/90 Hip Stretch,"Hip, Leg"
One Arm Chin-Up,"Back / Wing, Biceps"
Scapula Pull-up,"Back / Wing, Trapezius"
Archer Pull-up,"Back / Wing, Calisthenic, Full Body"
Jumping Pull-up,Back / Wing
Commando Pull-up,Back / Wing
Behind The Neck Pull-up,Back / Wing
Lever Decline Chest Press,Chest
Cable One-Arm Pulldown,Back / Wing
Bicycle Twisting Crunch,Abs
Decline Close-Grip Bench To Skull Crusher,Triceps
Barbell Decline Bent Arm Pullover,Back / Wing
Stiff Leg Deadlift,"Erector Spinae, Hip, Leg"
Dead Hang,Back / Wing
Kneeling Back Rotation,"Erector Spinae, Shoulders"
Serratus Wall Slide With Foam Roller,"Shoulders, Trapezius"
Fish Pose,"Abs, Chest, Neck, Yoga"
Hands In Air Dead Bug,Abs
Cross Body Push-up,"Cardio, Full Body"
Wall Supported Arm Raises,Shoulders
Backhand Raise,Shoulders
4 Point Tummy Vacuum Exercise,Abs
Isometric Pull-Up,Back / Wing
Dumbbell Preacher Hammer (Scott) Curl,"Biceps, Forearm"
One Arm Prone Dumbbell Curl,Biceps
Dumbbell Alternate Preacher Curl,Biceps
Two Dumbbell Preacher Curl,Biceps
Seated Flutter Kick,Abs
Seated Cable Twist,Abs
Dumbbell Seated Cuban Press,Shoulders
Kneeling Cable Shoulder Press,Shoulders
Flexor Incline Dumbbell Curls,Biceps
Dip Shrugs (Serratus Shrugs),Trapezius
Dumbbell Goblet Curtsey Lunge,Leg
Cable Forward Lunge,"Hip, Leg"
Kneeling Cable Pull Through,Hip
Cable Lunge,Leg
Cable Front Squat,"Hip, Leg"
Barbell One Arm Floor Press,"Chest, Triceps"
Barbell Alternate Biceps Curl,Biceps
Weighted Neutral Wrist Curl,Forearm
Incline Chest Press Machine,Chest
İncline Cable Fly,Chest
Bodyweight Kneeling Sissy Squat,"Abs, Leg"
Wide Grip Barbell Bent Over Row Plus,"Back / Wing, Trapezius"
Wide Grip Alternate Barbell Bent Over Row Plus,"Back / Wing, Trapezius"
Trap Bar Jump Squat,"Full Body, Hip, Leg"
Box Jump to Pistol Squat,"Cardio, Hip, Leg"
Box Jump 2 to 1,"Cardio, Hip, Leg"
Box Jump 1 to 2,"Cardio, Hip, Leg"
Single Leg Box Jump,"Cardio, Hip, Leg"
Bow Pose,"Abs, Erector Spinae, Leg, Yoga"
Cat Cow Pose,"Erector Spinae, Yoga"
Wall Slides,"Back / Wing, Shoulders"
Kneeling T-spine Rotation,"Abs, Back / Wing, Erector Spinae, Shoulders"
Plate Loaded Shoulder Press,Shoulders
Toe Extensor Stretch,Calf
Standing Barbell Rollout,Abs
Assisted Triceps Dips,Triceps
Side Plank Oblique Crunch,Abs
Reverse Chest Stretch,Chest
Medicine Ball-Sit-up Throw,"Abs, Full Body"
Standing Ankle Dorsiflexion,Calf
Standing Wall Calf Stretch,Calf
Standing Toe Up Achilles Stretch,Calf
Standing Toe Flexor Stretch,Calf
Standing Gastrocnemius Calf Stretch,Calf
Single Heel Drop Calf Stretch,Calf
Seated Straight Leg Calf Stretch,"Calf, Leg"
Lunging Straight Leg Calf Stretch,Calf
Posterior Tibialis Stretch,Calf
Foot and Ankles Stretches,Calf
Foot and Ankle Rotation,Calf
Calves Stretch Static Position,Calf
Single Leg Calves Stretch,Calf
Calf Stretch With Rope,Calf
Crouching Heel Back Calf Stretch,"Calf, Leg"
Chest Supported Dumbbell Front Raises,Shoulders
Barbell Jump Squat,"Full Body, Hip, Leg"
Side Bent,Abs
One-Arm Dumbbell Upright Row,"Shoulders, Trapezius"
Leg Scissors,Abs
Abdominal Bracing,"Abs, Yoga"
Single Arm Arnold Press,Shoulders
Cable Kneeling Biceps Curl,Biceps
Double Pigeon Pose,Yoga
Frog Pose,"Hip, Leg, Yoga"
Kneeling Landmine Press,"Chest, Shoulders"
Pike Push-Up Between Chairs,"Chest, Shoulders"
Handstand Walk,"Calisthenic, Full Body"
Handstand,"Calisthenic, Full Body"
ATG Split Squat,"Hip, Leg"
Kettlebell Clean and Press,"Full Body, Hip, Leg, Shoulders"
Dumbbell Z Press,Shoulders
Seated Piriformis Stretch,"Hip, Leg"
Barbell Pin Front Squat,"Hip, Leg"
Cable Y Raise,"Shoulders, Trapezius"
Lying Toe Touches,Abs
Climbing Monkey Bars,"Back / Wing, Full Body"
Supine Spinal Twist,"Back / Wing, Erector Spinae, Yoga"
Heel Touch Side Kick Squat,Leg
Alternate Dumbbell Lateral Raise,Shoulders
Back Slaps Wrap Around Stretch,"Back / Wing, Chest, Shoulders"
Reaction Ball Throw,"Chest, Shoulders, Triceps"
Front Rack PVC Stretch,Shoulders
Bodyweight Row in Doorway,Back / Wing
Lever High Row,"Back / Wing, Shoulders"
Dumbbell Floor Wipers,Abs
Hip Extension On Bench,Hip
Seated Calf Press on Leg Press Machine,Calf
Single Calf Raise on Leg Press Machine,Calf
Donkey Kick on Smith Machine,Hip
Glute Bridge on Bench,Hip
Stationary Bike Run,Cardio
Donkey Kick on Leg Extension Machine,Hip
Hip Thrust on The Leg Extension Machine,Hip
Hip Thrust Machine,Hip
Squat on The Abductor Machine,Hip
Barbell Single Leg Hip Thrust,Hip
Incline Dumbbell Hammer Row,Back / Wing
Pelvic Tilt,Hip
Glute Bridge One Leg on Bench,Hip
Unilateral Bridge,Hip
Side Bridge Hip Abduction,"Abs, Hip"
Straight Leg Kickback,Hip
Hands Bike,Cardio
Seated Cable Chest Press,Chest
Seated Cable Close Grip Chest Press,Chest
Cable Half Kneeling Pallof Press,"Abs, Chest, Shoulders"
Squat Tuck Jump,Cardio
Decline Bench Dumbbell Lunge,"Hip, Leg"
Standing Triceps Stretch,Triceps
Chest and Front of Shoulder Stretch,"Chest, Shoulders"
Forearm Push-up,"Calisthenic, Chest, Triceps"
Plate Loaded Seated Row,Back / Wing
Cable Two Arm Curl on Incline Bench,Biceps
Chin Up Around the Bar,"Back / Wing, Biceps"
Banded Standing Glute Kickback,Hip
Banded Seated Hip Abduction,Hip
Banded Single Leg Glute Bridge,Hip
Banded Glute Bridge,Hip
EZ-Bar Bent Arm Pullover,"Back / Wing, Triceps"
Lateral Leg Swings,"Hip, Leg"
Elbow Flexion,Biceps
Shoulder External Rotation,Shoulders
Shoulder Internal Rotation,Shoulders
Lateral Raise with Towel on Wall,Shoulders
Alternating Shoulder Flexion,Shoulders
Banded Walk,"Hip, Leg"
Band Side Lying Clam,Hip
Resistance Band Lateral Walk,"Hip, Leg"
Banded Glute Kickbacks,Hip
Banded Donkey Kicks,Hip
Banded Thigh Fly,Hip
Band Side Lying Leg Lift,Hip
Banded Fire Hydrant,Hip
Cable Pulldown Biceps Curl,Biceps
Kneeling Jump Squat,"Hip, Leg"
Banded Split Squat,Leg
Banded Kettlebell Goblet Squat,"Hip, Leg"
Banded Lunge,Leg
Banded Leg Curl,Leg
Standing Single Leg Curl Machine,Leg
Decline Dumbbell Leg Curl,Leg
Low Cable Tricep Kickback,Triceps
Banded Shoulder External Rotation,Shoulders
Banded Shoulder Flexion,Shoulders
Banded Shoulder Extension,"Back / Wing, Shoulders"
Banded Shoulder Adduction,"Back / Wing, Chest"
Kettlebell Front Squat,"Hip, Leg"
Single Knee To Chest,"Hip, Leg"
Pistol Squat to Box,"Hip, Leg"
Frog Pump,Hip
Landmine Deadlift,"Hip, Leg"
Landmine T-Bar Row,"Back / Wing, Erector Spinae"
1-2 Stick Drill,Cardio
Cable Twisting Standing High Row,Back / Wing
Band Biceps Curl,Biceps
Band Skull Crusher,Triceps
Single Arm Twisting Seated Cable Row,Back / Wing
Band Alternating Lat Pulldown,Back / Wing
Band Alternating Low Row with Twist,Back / Wing
Band Alternate Incline Chest Press,Chest
Band Single Arm Shoulder Press,Shoulders
Band Seated Hip External Rotation,Hip
Band Seated Hip Internal Rotation,Hip
Band Seated Row,Back / Wing
Band Pushdown,Triceps
Landmine Squat,"Hip, Leg"
Sissy Squat,Leg
Single Dumbbell Spider Hammer Curl,"Biceps, Forearm"
Decline Dumbbell Triceps Extension,Triceps
Dumbbell Tate Press,Triceps
Rack Pull,"Hip, Leg"
Handstand Push-ups Between Benches,"Calisthenic, Shoulders, Triceps"
Kipping Handstand Push-up,"Calisthenic, Full Body, Shoulders, Triceps"
Barbell Pendlay Row,"Back / Wing, Erector Spinae"
Standing Knee Hugs,"Hip, Leg"
Superman,"Erector Spinae, Neck"
Fire Hydrant,Hip
Step Up with Knee Raises,"Cardio, Leg"
Snap Jumps,"Abs, Cardio, Full Body, Hip, Leg"
Piriformis Stretch,"Hip, Leg"
Half Kneeling Hip Flexor Stretch,"Hip, Leg"
Barbell Glute Bridge,Hip
Cable Hip Extension,Hip
Cable Hip Abduction,Hip
Donkey Kicks,Hip
Bent-Over Dumbbell Rear Delt Raise With Head On Bench,Shoulders
Hanging Leg Raises,N/A
Side Plank Leg Raises,Abs
Reverse Plank Kicks,Abs
Hindu Push-ups,"Abs, Calisthenic, Erector Spinae, Shoulders"
High Knee Run,"Cardio, Hip, Leg"
High Knee Skips,"Abs, Cardio, Leg"
Double Crunches,Abs
Toe Reaches,Abs
Inner Thigh Side Stretch,"Calf, Hip, Leg"
Sit-ups,Abs
Side Plank,Abs
Plank Leg Lift,"Abs, Hip"
Plank Knee to Elbow,Abs
Russian Twist,Abs
Plank,Abs
Skater,"Cardio, Hip, Leg"
Leg Pull-in Knee-ups,Abs
Butterfly Stretch,"Hip, Leg"
Glute Bridge,"Abs, Hip"
Arm Leg Raises,"Erector Spinae, Hip"
Hollow Hold,Abs
Long Arm Crunch,Abs
Half Wipers,Abs
Jackknife Sit-ups (V-Up),Abs
Flutter Kick,Abs
Dumbbell Forward Leaning Lunge,"Hip, Leg"
Dumbbell Reverse Lunge,"Hip, Leg"
Dumbbell Pistol Squat,Leg
Standing side bend,"Abs, Back / Wing"
Bent Over Kickback,Triceps
Incline Close-Grip Bench Press,Chest
Close Grip Bench Press,"Chest, Triceps"
Dumbbell Triceps Extension,Triceps
Diamond Push-up,"Calisthenic, Chest, Triceps"
Cable Curl,Biceps
Reverse Wrist Curl,Forearm
Wrist Curl,Forearm
Z-Bar Curl,Biceps
Barbell Upright Row,"Shoulders, Trapezius"
Barbell Front Raise,Shoulders
Bodyweight Bulgarian Split Squat,"Hip, Leg"
Dumbbell Sumo Squat,"Hip, Leg"
Hip Adduction Machine,"Hip, Leg"
Hip Abduction Machine,"Hip, Leg"
Push-Up,"Calisthenic, Chest"
Hammer Press,Chest
Chest Press Machine,Chest
Corner Wall Stretch,"Chest, Shoulders"
Seated Banded Leg Extension,Leg
Hammer Curl with Resistance Band,"Biceps, Forearm"
Band Pushdown (Neutral Grip),Triceps
Barbell Floor Press,Chest
Suspended Ab Fall-out,"Abs, Calisthenic"
TRX Mountain Climber,Abs
Side Plank Knee to Elbow,Abs
Zercher Deadlift,"Hip, Leg"
Supported Pistol Squat,Leg
Landmine Floor Chest Fly,Chest
Barbell Thruster,"Full Body, Leg, Shoulders"
Dumbbell Pull Through,"Erector Spinae, Hip, Leg"
Single Leg Donkey Calf Raise,Calf
Decline Hammer Press,Chest
Jefferson Squat,"Hip, Leg"
Alternating Lying Dumbbell Triceps Extension,Triceps
Barbell Reverse Grip Skullcrusher,Triceps
Barbell Lying Back of the Head Tricep Extension,Triceps
EZ Bar Lying Close Grip Triceps Extension Behind Head,Triceps
Kneeling Cable Triceps Extension,Triceps
Close-Grip Reverse Bench Press,"Chest, Triceps"
One Arm High Pulley Overhead Tricep Extension,Triceps
Cable Crossover Triceps Extension,Triceps
Side One Arm Reverse Pushdown,Triceps
Cable Reverse Grip EZ-bar Biceps Curl,"Biceps, Forearm"
Bodyweight Skull Crushers,"Abs, Calisthenic, Full Body, Triceps"
V-bar Pushdown,Triceps
Cable Rope Lying Tricep Extension,Triceps
Cable Lying Triceps Extension,Triceps
Barbell Lying Close grip Triceps Extension,N/A
Glute Ham Raise,"Erector Spinae, Hip, Leg"
Wide-Grip Reverse Bench Press,Chest
Straddle Planche,"Abs, Calisthenic, Full Body"
TRX Pistol Squat,"Hip, Leg"
Sitting Wide Leg Adductor Stretch,"Hip, Leg"
Standing Wide Knees Adductor Stretch,"Hip, Leg"
Standing Wide Leg Adductor Stretch,"Hip, Leg"
Knee Circles,Leg
Hip Circles,"Hip, Leg"
Parsva Balasana | Thread the Needle Pose,Yoga
One Arm Kettlebell Swing,"Full Body, Hip, Shoulders"
Half Cross Crunch,Abs
Close Grip Knee Push-up,"Chest, Triceps"
Cable Seated Twist on Floor,Abs
Butterfly Sit-up,Abs
Neutral Grip Pull-up,Back / Wing
Standing Reverse Shoulder Stretch,"Biceps, Shoulders"
Resistance Band Bent Over Rear Delt Fly,"Shoulders, Trapezius"
Push-up With Rotation,"Abs, Chest, Erector Spinae"
Side Plank Rotation,"Abs, Erector Spinae"
Resistance Band Overhead Squat,"Hip, Leg"
Medicine ball Overhead Slam,"Back / Wing, Full Body, Shoulders"
Supine Medicine Ball Chest Throw,"Chest, Triceps"
Reverse Dips,"Chest, Triceps"
Trx Chest Press,Chest
Dumbbell Seal Row,Back / Wing
Lever Standing Hip Extension,Hip
Dumbbell Straight Arm Pullover (knees at 90 degrees),Chest
Trx Chest Fly,Chest
Doorway Pec and Shoulder Stretch,"Chest, Shoulders"
Prone Abdominal Hollowing,Abs
Hell Slide,"Abs, Leg"
Wall Ball,"Full Body, Hip, Leg, Shoulders"
Kicks Leg Bent,Hip
Kneeling Leg Out Adductor Stretch,"Hip, Leg"
Resistance Band Pull Apart,"Shoulders, Trapezius"
Half Frog Pose,"Abs, Leg, Yoga"
Happy Baby Pose,"Hip, Leg, Yoga"
Barbell Drag Curl,Biceps
Kettlebell Renegade Row,"Back / Wing, Chest, Full Body"
Push-Up to Renegade Row,"Back / Wing, Chest, Full Body"
Modified Hindu Push-up,"Chest, Full Body"
Knuckle Push-Up,Chest
Full Planche Push-Up,"Calisthenic, Chest, Full Body, Triceps"
Finger Push-up,"Calisthenic, Chest"
Chest Tap Push-up,"Calisthenic, Chest"
Kettlebell Deep Push-Up,Chest
Archer Push-Up,"Calisthenic, Chest, Full Body, Triceps"
One Leg Push-Up,Chest
Medicine Ball Crunch,Abs
Bosu Ball Push-Up,Chest
Resistance Band Alternating Chest Fly,Chest
Kettlebell Figure 8,"Abs, Erector Spinae, Full Body, Hip, Leg"
Smith Machine Hip Thrust,Hip
Resistance Band Hip Thrust,Hip
Resistance Band Hip Thrusts on Knees,Hip
Barbell Finger Curl,Forearm
Dumbbell Finger Curl,Forearm
Dumbbell Renegade Row,"Back / Wing, Full Body"
Ball Russian Twist throw with partner,Abs
Kettlebell Lateral Raise,Shoulders
Barbell Single Leg Deadlift,"Erector Spinae, Hip, Leg"
Dumbbell Single Leg Deadlift,"Erector Spinae, Hip, Leg"
Dumbbell Reverse Grip 30 Degrees Incline Bench Press,Chest
Close Grip Barbell Curl,Biceps
Seated Leg Extension with Resistance Band,Leg
Good Morning With Resistance Band,"Erector Spinae, Leg"
Dumbbell Bench Squat,"Hip, Leg"
Seated Ab Crunch Machine,Abs
Pendulum Squat,"Hip, Leg"
Band Assisted Pull-up,Back / Wing
Dumbbell Windmill,"Abs, Shoulders"
Rolling Like a Ball,Erector Spinae
Dumbbell Iron Cross,"Full Body, Hip, Leg, Shoulders"
Incline Landmine Press,"Chest, Shoulders"
Box Pistol Squat,"Hip, Leg"
Ring Dips,"Calisthenic, Chest, Full Body, Triceps"
Sitting Rotation Hip Stretch,"Hip, Leg"
Supported One Leg Standing Hip Flexor And Knee Extensor Stretch,"Hip, Leg"
Squat mobility Complex,"Hip, Leg"
Cobra Push-up,Chest
Shoulder Tap Push-up,Chest
Single Arm Raise Push-up,"Calisthenic, Chest, Triceps"
Suspended Push-Up,"Chest, Triceps"
Close-grip Dumbbell Push-Up,"Chest, Triceps"
Medicine Ball Push-Up,"Chest, Triceps"
Single-Arm Push-Up on a Medicine Ball,"Chest, Triceps"
Weighted Vest Push-up,Chest
One Arm Cable Bicep Curl,Biceps
Single Arm Reverse Grip Cable Bicep Curl,"Biceps, Forearm"
Assault AirBike,Cardio
Recumbent Exercise Bike,Cardio
Medicine Ball Overhead Throw,"Chest, Shoulders, Triceps"
Standing Medicine Ball Chest Pass,Chest
One Arm Medicine Ball Slam,"Abs, Chest, Full Body, Shoulders"
Barbell Reverse Wrist Curl Over a Bench,Forearm
Water Bottle Hammer Curl,"Biceps, Forearm"
Seated Alternating Dumbbell Curl,Biceps
Dumbbell Single Arm Lateral Raise,Shoulders
Dumbbell Seated Alternate Front Raise,Shoulders
Side Lying Hip Adduction,Hip
Side Hip Abduction,Hip
Side Lying Feet Raise,"Abs, Hip"
Seated Bicep Curl With Resistance Band,Biceps
Dhanurasana | Rocking Bow Pose,"Abs, Erector Spinae, Yoga"
Standing Banded Row,Back / Wing
Rear Drive With Resistance Band,Triceps
One-Arm Biceps Curl With Resistance Band,Biceps
Single Stiff Leg Deadlift With Resistance Band,Hip
Pull through With Resistance Band,Hip
Seated Twist With Resistance Band,Abs
Twist With Resistance Band,Abs
Twist down up With Resistance Band,Abs
Standing incline chest press With Resistance Band,Chest
Swing | Gymstick,"Erector Spinae, Hip, Shoulders"
Standing Straight Leg Raise With Resistance Band,Leg
Standing Leg Raise With Resistance Band,Leg
Standing Leg Extension With Resistance Band,Leg
Standing Leg Curl With Resistance Band,Leg
Side Bend Press | Gymstick,Shoulders
Standing Triceps Extension | Gymstick,Triceps
Single Arm Upright Row | Gymstick,"Shoulders, Trapezius"
Single Leg Reverse Hyperextension | Gymstick,"Erector Spinae, Hip"
Standing Side Bend | Gymstick,Abs
Behind the Head Military Press | Gymstick,Shoulders
Split Squat | Gymstick,"Hip, Leg"
Squat | Gymstick,"Hip, Leg"
Banded Overhead Triceps Extension,Triceps
Overhead Triceps Extension | Gymstick,Triceps
Skier | Gymstick,Shoulders
Banded Lying leg and hip raise,Abs
Banded Lying Leg Curl,Leg
Middle Chest fly With Resistance Band,Chest
Lying Alternate Leg Press | Gymstick,Leg
Kneeling Single Leg Kick | Gymstick,Hip
Banded Jack knife sit-up,Abs
Kneeling Incline Press | Gymstick,Chest
Low Chest Fly With Resistance Band,Chest
Kneeling Pulldown With Resistance Band,Back / Wing
Face Pull With Resistance Band,"Shoulders, Trapezius"
Down to Up Twist |Gymstick,Abs
Bent Over Row | Gymstick,"Back / Wing, Shoulders"
High Chest Fly With Resistance Band,Chest
Bicycle Crunch | Gymstick,Abs
Pin Squat,"Hip, Leg"
The Box Jump,"Cardio, Hip, Leg"
Decline Push-up,Chest
Plank Jacks / Extended Leg,Abs
Battle Rope,"Back / Wing, Cardio, Full Body, Shoulders"
